-374.9716,128.5338,58.1032
-358.6924,126.8267,54.8021
-359.0578,132.6754,53.0195
-357.0521,140.4265,43.0511
-355.6371,120.2244,44.0363
-336.8475,131.5958,46.2451
-332.8787,130.7471,44.4648
-336.1833,124.2798,43.7569
-338.2458,137.8426,43.9279
-318.3918,130.5899,38.3416
-327.0858,121.7430,19.2650
-324.0446,140.7477,16.5822
-313.4036,142.4467,28.1416
-312.4766,121.6010,26.0460
-303.1113,123.3804,25.4662
-302.5482,143.3535,26.9033
-293.4757,124.1067,24.2113
-294.8748,143.3069,25.2199
-285.2105,126.3109,24.2188
-286.2651,142.9261,24.1656
-276.5430,126.8131,21.6752
-277.9370,142.9173,22.2557
NA,NA,NA
-370.6032,128.7725,57.8336
-367.6049,128.7448,57.9277
-364.6250,128.9772,57.6694
-361.7238,129.1120,56.9181
-358.9077,128.9367,55.8987
-356.0624,128.7425,54.9679
-353.2767,129.6161,54.2774
-350.6335,129.6793,52.8599
-348.0304,130.6942,51.7671
-340.7871,131.4270,48.8639
-338.1850,131.4588,47.3713
-335.4538,131.7419,46.1628
-332.7675,131.6124,44.8334
-329.9690,131.9949,43.8225
-327.1423,132.0390,42.8188
-324.3596,132.2279,41.7139
-321.5456,132.4754,40.7038
-318.8050,132.4596,39.4836
-316.3863,132.5270,37.7101
-313.5020,131.7049,37.7808
-311.0321,130.8668,36.2986
-308.5593,131.2071,34.6345
-306.1371,132.7523,33.7709
-303.4103,133.5915,32.8433
-300.4214,133.4112,33.0262
-297.4297,133.5430,32.8454
-294.4987,133.8017,32.2605
-291.5041,133.8599,32.0891
-288.5620,133.9503,31.5099
-285.6801,134.5258,30.9066
-282.8767,135.0394,29.9701
-280.0058,135.1940,29.1134
-277.1296,135.2763,28.2646
-274.3210,135.2466,27.2104
-271.5753,135.0077,26.0256
-268.7871,134.9783,24.9186
-266.1553,135.1343,23.4872
-263.6324,135.5429,21.9162
-261.1778,135.9040,20.2297
-258.7391,136.0314,18.4870
-256.3331,136.1297,16.6978
NA,NA,NA
-373.7405,128.4386,57.3199
-359.2119,126.9613,53.0150
-359.5977,133.4909,52.4189
-356.9170,140.4860,42.2492
-356.5174,119.4418,42.8353
-337.1180,131.8069,46.2050
-333.1114,131.5365,44.4228
-336.6467,124.7436,43.8742
-338.7350,139.2108,42.6577
-317.7320,132.6051,38.7327
-325.3284,121.3699,19.8329
-324.4883,142.0373,18.6085
-312.6383,121.3566,26.2025
-313.3877,143.9600,25.7577
-302.8649,123.2861,24.9052
-304.1263,143.8191,25.4185
-292.5134,124.2493,23.4401
-295.9369,144.8451,24.1081
-287.8523,145.4183,21.6710
-284.7635,125.6814,22.5046
-278.8480,144.5671,20.9748
-277.1879,128.1375,22.9993
NA,NA,NA
-373.2184,127.9542,56.4772
-371.0361,128.9103,58.3002
-368.1281,129.4565,57.8053
-365.1791,129.2940,57.2788
-362.2725,129.3422,56.5378
-359.4161,129.1899,55.6332
-356.5486,128.8386,54.8248
-353.8129,129.5344,53.8089
-351.0853,130.2585,52.7911
-348.3126,130.2903,51.6461
-339.7450,130.5109,47.8622
-337.0483,130.8444,46.5908
-334.2721,130.6531,45.4699
-331.6168,131.4721,44.3393
-328.8591,131.6344,43.1692
-326.0655,131.6160,42.0760
-323.2878,131.9750,41.0009
-320.4909,132.2708,39.9570
-317.7878,131.9771,38.6894
-316.0006,131.3011,36.3766
-305.3057,131.7611,33.0598
-302.5793,132.9913,32.8287
-299.5977,133.2601,32.6327
-296.6042,133.3604,32.4642
-293.6413,133.7858,32.2633
-290.6719,133.9315,31.8611
-287.7866,133.5538,31.1318
-284.8571,133.5429,30.4853
-281.9573,133.9925,29.8614
-279.1852,134.5173,28.8415
-276.3110,134.8876,28.0660
-273.4401,134.7764,27.2026
-270.6144,135.0537,26.2337
-267.8981,135.4104,25.0112
-265.2119,135.6455,23.6962
-262.6902,135.7458,22.0743
-260.2582,135.6666,20.3195
-257.8232,135.7510,18.5692
-255.3662,135.9747,16.8624
-252.8225,136.1316,15.2796
NA,NA,NA
